text,label
มึงโง่จน objective หายหมด,Toxic
ดีมาก ช่วยอีกทีมเต็มที่,Toxic
ไม่พร้อมก็อย่ากดมา ไม่ดูแมพเลย,Toxic
ถ้าจะกดสกิลมั่ว ควรหยุดก่อน,Toxic
เมื่อกี้ยังไม่ควรไล่ ค่อยๆเล่น,Normal
เล่นอ่อนตั้งแต่ต้นเกม,Toxic
รอบนี้ควรดูแมพก่อน เอาใหม่รอบหน้า,Normal
มึงตัวถ่วงตั้งแต่ต้นเกม,Toxic
เรา คุมเลน ยังมีโอกาส,Normal
ถ้ายังเล่นแบบนี้ เกมนี้จบตั้งแต่เห็นแล้ว,Toxic
เก็บบัฟก่อน เดี๋ยวช่วย,Normal
เรา รวมกลาง รอบหน้าเอาใหม่,Normal
มึงกากกว่าบอทอีก,Toxic
เปิดวิชั่นก่อน เดี๋ยวช่วย,Normal
รอเกิดก่อน เดี๋ยวช่วย,Normal
เทพจริง ทำทีมพังได้ต่อเนื่อง,Toxic
เมจ เล่นแล้วทีมต้องแบกหนักขึ้น,Toxic
ดันล่างก่อน ไม่เป็นไร,Normal
เรา ปัก ward ยังมีโอกาส,Normal
เพื่อน เก็บ objective ใจเย็นก่อน,Normal
เมื่อกี้เลนนี้กดดันยาก ค่อยๆเล่น,Normal
คนเล่นตำแหน่งนี้ ทำให้คนอื่นเหนื่อยเปล่า,Toxic
นาย ฟาร์มก่อน เล่นต่อได้,Normal
เพื่อน กันบ้าน ยังมีโอกาส,Normal
ดีมาก เสีย objective ได้ครบทุกตัว,Toxic
ถ้าแค่เดินไปตาย ก็ไม่แปลกที่แพ้,Toxic
เก่งมาก ส่งแต้มสวยมาก,Toxic
คนเล่นตำแหน่งนี้ ตัดสินใจแย่มาก,Toxic
ดีมาก ทำเกมง่ายขึ้นสำหรับอีกฝั่ง,Toxic
เก็บบัฟก่อน ใจเย็นก่อน,Normal
ตัวซัพ ทำให้คนอื่นเหนื่อยเปล่า,Toxic
เรา เก็บ objective ตอนนี้ยังไหว,Normal
รอบนี้เลนนี้กดดันยาก ค่อยๆเล่น,Normal
เมื่อกี้ไฟต์นี้เสียเปรียบ เอาใหม่รอบหน้า,Normal
รอบนี้เลนนี้กดดันยาก เดี๋ยวช่วยกัน,Normal
มึงเล่นโอเคนะ ไม่ต้องรีบ,Normal
มึงกากไม่มีพัฒนา,Toxic
ช่วยคิดก่อนเล่นหน่อย แจกทุกไฟต์,Toxic
มึงไปก่อนเลย เดี๋ยวกูตาม,Normal
คนเลนบน อ่านเกมไม่ออกเลย,Toxic
ไม่พร้อมก็อย่ากดมา กดสกิลทิ้ง,Toxic
เมื่อกี้ใช้สกิลไวไปหน่อย ไม่ต้องซีเรียส,Normal
แก รวมกลาง ค่อยๆเล่น,Normal
ทีมเรา กันบ้าน เดี๋ยวตามไป,Normal
